product_name,product_price,review
AVA+ 12W JP299,150.000₫,Sao mình sạc cả đêm vẫn 1 chấm pin thôi
AVA+ 12W JP299,150.000₫,Sạc cho ip11 3h lên đc 20%
AVA+ 12W JP299,150.000₫,Pin sạc cả đêm k vào.2 cục trước còn dùng dc vài tháng còn cục này chắc dc lần.
AVA+ 12W JP299,150.000₫,Tôi mua rất nhiều đồ ở đmx. Nhưng lần này cực kỳ tệ mua dùng đc lần đầu. Sạc cả ngày ko lên nổi 1 vạch pin. Thất vọng hàng đmx bán ra
AVA+ 12W JP299,150.000₫,rất tốt
AVA+ 12W JP299,150.000₫,những tháng đầu dùng rất oke nhưng về sau sạc thì nó cứ nhấp nháy 1 cục sạc đt thì ko lên lên còn tụt pin
AVA+ 12W JP299,150.000₫,Sản phẩm tốt
AVA+ 12W JP299,150.000₫,Sản rất tốt
AVA+ 12W JP299,150.000₫,Ok
AVA+ 12W JP299,150.000₫,Pin sạc dự phòng Sài rất tốt hàng thương hiệu Sài rất OK mn nên mua dùng
AVA+ 12W JP299,150.000₫,Ok ok la nè
AVA+ 12W JP299,150.000₫,Sạc tệ. Đã đổi cục thứ hai vì lỗi không nhận sạc. Sạc nguyên đêm tới sáng k lên nổi cục thứ hai.
AVA+ 12W JP299,150.000₫,Tuyệt vời
AVA+ 12W JP299,150.000₫,SP OK lam ak
AVA+ 12W JP299,150.000₫,"Sạc quá tệ, mua về dùng được 1 lần. Sạc pin cả 1 ngày chỉ nhấp nháy có một chấm đầu tiên"
AVA+ 12W JP299,150.000₫,sài 1lần rồi phải sạc một tuần hay j
AVA+ 12W JP299,150.000₫,"Cục sạc mình sạc từ đêm đến sáng vẫn nháy 1 cột, sạc rất lâu vào, và dùng thì rất nhanh hết. Có lúc sạc đầy mà chỉ dùng đc 12t. Sạc thì lâu dùng thì nhanh hết. Vậy vấn đề của mình có được hỗ trợ đổi k ạ"
AVA+ 12W JP299,150.000₫,Good
AVA+ 12W JP299,150.000₫,Mới mua tức thì xạc nóng pin nóng doc xạc luôn mà pin nháy 1 đèn mãi k vào pin.Cuối năm ngoái mua 1 cái dùng 1 lần sau xạc k vào.Lần này cũng vậy. Mua hàng tgdd nhiều rồi nhưng mấy thứ phụ kiện này bên tgdd làm ăn kém chất lượng quá.
AVA+ 12W JP299,150.000₫,Rất tốt
AVA+ 12W JP299,150.000₫,sạc cả ngày mà cứ đèn nhấp nháy 1 cục
AVA+ 12W JP299,150.000₫,"hàng đã qua sử dụng, TGDD bán 75 k với giá tiền này thì không mong đợi hơn, vì Sài thử mấy ngày rất OK"
AVA+ 12W JP299,150.000₫,Ok ạ
AVA+ 12W JP299,150.000₫,Mua được 3 tháng thì sạc không vô pin
AVA+ 12W JP299,150.000₫,Ok.xài ổn
AVA+ 12W JP299,150.000₫,Tốt
AVA+ 12W JP299,150.000₫,Mua được 3 tháng thì có hiện tượng phòng Pin
AVA+ 12W JP299,150.000₫,"Cục sạc mình sạc cả ngày trời mà nó cứ nhấp nháy 1 chấm đèn, có được đổi không shop"
AVA+ 12W JP299,150.000₫,Dùng 1 lần ròi sạc 3 ngày vẫn chưa được vẫn chỉ nháy 1 cục xanh hầu chết ai cũng gặp. Tình tràng này
AVA+ 12W JP299,150.000₫,Giá rẻ nhưng dùng rất tốt
AVA+ 12W JP299,150.000₫,Tốt
AVA+ 12W JP299,150.000₫,Sài ok lắm ạ
AVA+ 12W JP299,150.000₫,Dùg ok đó nhưg ko biết được lâu ko
AVA+ 12W JP299,150.000₫,Sạc 12 tiếng vẫn nhấp nháy ở mức 2 cục
AVA+ 12W JP299,150.000₫,VIP
AVA+ 12W JP299,150.000₫,nhân viên nhiệt tình. nhiệt quyết. tận tâm. tận lực...
AVA+ 12W JP299,150.000₫,"Sạc 12h vẫn nhấp nháy ở mức 3 cục không lên nỗi đầy 4 cục,phải làm sao ạ"
AVA+ 12W JP299,150.000₫,Rất chi là ok
AVA+ 12W JP299,150.000₫,Mình mua mới trên tiktok của tgdd .Check còn bảo hành . Mà nó bị phù nề vậy có được bảo hành không
AVA+ 12W JP299,150.000₫,Sao e sạc cả đêm mà nó cứ nháy hai cục vậy ạ
AVA+ 12W JP299,150.000₫,Sạc 1 ngày trời cứ nháy 1 đèn là sao. Cần hỗ trợ từ shop
AVA+ 12W JP299,150.000₫,Có chính sách bảo hành đổi trả gì k vậy chán ghê. Sạc cứ nhấp nháy hoài k lên pin
AVA+ 12W JP299,150.000₫,Mới mua sử dụng được 1 lần sạc 3 hôm liền ko đấy pin đèn báo ở mức 2 thất vọng
AVA+ 12W JP299,150.000₫,"mua về lần đầu sạc vô thì đủ 4 cục sài đc ít lần, sạc cả đêm lên đc 2 cục, cứ nháy nháy không lên nổi 4 cục"
AVA+ 12W JP299,150.000₫,"sạc đầy pin cả buổi chiều để chuẩn bị cho sáng mai đi công việc, sáng ra cục pin tắt ngúm còn báo 1 đèn. mua chưa được 1 tuần . làm đi từ SG về Gò Công không có miến pin để sạc cho điện thoại. hẻo luôn."
AVA+ 12W JP299,150.000₫,Bên mình có dây sạc đầu vào cho sp ko shop
AVA+ 12W JP299,150.000₫,ủa sạc sài 1 lần hả giao cục sạc k có dây sạc sài hết sao sạc
