product_name,product_price,review
Camera IP 360 Độ 2MP TP-Link Tapo C200C,360.000₫,Cũng ok nhưng mà ko có đèn màu
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,Tot
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,Máy xài ngon nha bà con. 470k sắc nét mà đủ tính năng. Bị cái quý vị phải đầu tư cái sd to to và mượt 1 xíu. Này có tiền xài gói cloud của họ là đẹp. Nói chung 10 sao.
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,Nếu Không gắn thẻ nhớ thì xem lại được mấy ngày
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,gắn thẻ nhớ vào ko sd đc cần lh hỗ trợ
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,Có bảo hành không ạ
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,"dùng OK, điện mãy xanh lắp đặp nhanh gọn"
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,"Camera gì mà hư suốt ngày, cứ 1 2 tuần là lỗi này tới lỗi kia, kêu thợ DMX tới lắp công lắp đặt 250k/cái chứ ít ỏi gì vậy mà tới đăng nhập wifi chỉnh cam cho khách thì ko biết cài phải để khách tự cài. Từ lúc mua tới giờ hư ko dưới 7 lần, gọi lên tổng đài kêu thợ xuống sửa bảo hành thì làm việc rất là qua loa, xuống xong rồi nói ko sửa đc cuối cùng phải thuê thợ ngoài sửa, giờ hư nữa rồi. Cứ hiện thị mất kết nối không trực tuyến. Điện máy xanh nên coi lại cách làm việc của nhân viên lắp đặt và bảo hành."
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,số tốt
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,"Dùng được 4 tháng thì camera bị mất kết nối, kiểm tra thì thấy bị mất nguồn"
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,"Dùng được 4 tháng thì camera không kết nối được, kiểm tra thì bị mất nguồn"
Camera IP 360 Độ 3MP IMOU TA32CP-L,470.000₫,Dùng được hơn 2 tuần thì camera không hoạt động và có tình trạng phát thất bạiMong cửa hàng liên hệ lại mình xxxx150476
