product_name,product_price,review
iPhone 16e 128GB,16.590.000₫,Hài lòng.tuy giá cáo nhưng cấu hình chơi game hết ý
iPhone 16 Pro Max 256GB,31.090.000₫,"Mình thấy dùng ổn, ngoại hình các thứ đẹp hơn các dòng dưới đã dùng, k am hiểu lắm về đt nhưng cũng thấy đẹp chắc vì mắc tiền nên đẹp, màu titan tự nhiên khá ok"
iPhone 16 Pro Max 256GB,31.090.000₫,"Sau khi sử dụng gần 2th thì mọi thứ rất ok pin sài khá lâu , lúc tính mua nghe lỗi nhiều mình cũng phân vân lắm nhưng đến bây giờ thì mình rất hài lòng"
iPhone 16 Pro Max 256GB,31.090.000₫,Điện thoại tôi mua lúc 6/3 tôi muốn bán lại thì mất phí bn % ạ
iPhone 16 Pro Max 256GB,31.090.000₫,Tuyệt voi
iPhone 16 Pro Max 256GB,31.090.000₫,"Pin trâu , loa đt lúc to lúc bé , bàn phím hơi đơ Còn lại tất cả đều ổn Ko biết lên hệ đh mới có khắc phục đc ko"
iPhone 16 Pro Max 256GB,31.090.000₫,Mua tối muộn 22/2 giá 33.390.000đ về thấy lỗi đã báo ngay cho TGDD. Sáng 23/2 ra báo thì kêu gửi về hãng check. Chờ đợi 5 ngày chỉ nhận lại câu lỗi do người sử dụng không kiểm tra lúc mua báo . Bỏ ra hơn 30 triệu mua cái bực vào ng. Vậy thử hỏi bảo hành lỗi đổi 30 ngày làm gì. Quýết định trả lại và mất 10% lấy về 30.051.000đ . Thực sự sẽ không còn lần nào mua bên này nữa. Thân ái
iPhone 16 Pro Max 256GB,31.090.000₫,Dùng khá ok. Pin khá trâu
iPhone 16 Pro Max 256GB,31.090.000₫,Mua sp không dc cộnh điểm tích luỹ ha shop
iPhone 16 Pro Max 256GB,31.090.000₫,Từ 14prm chuyển qua khác biệt rõ rệt
iPhone 16 Pro Max 256GB,31.090.000₫,Tôi mua io16promax 256gb giá 32971k dùng dc 3 hôm phát hiện mắt camera sau có vệt ố phía trong lên chỗ thê giới di động trương định bảo ko xử lý đổi 11 mặc dù khi mua bảo 11 nếu có lỗi về máy và tôi mua thêm gói bảo hành 650k thêm cảm thấy hối hận khi quyết định xuống tiền mua máy o đây Tôi gọi điện lên tổng đài thì bảo gui máy về hãng bảo hành 7/15 ngày ma tôi hỏi tôi lấy máy gì dùng con chưa biết là máy gui đi thì sẽ bị mở ra không ae nên cân nhắc vê máy khi mua giá trị cao trước giờ toàn mua o thế gưới di động nhưng lần này tôi hối hận khi nào ip17 ra có điều kiện tôi sẽ mua o chỗ khác k bao giơ mua o đây nữa chế độ đổi mới khi tư vấn thì ok lọt tai nhưng khi xảy ra sự cố phát hiện dc lỗi thì bị từ chối vẽ ra bảo do người mua ko kiêm tra kĩ vãi lol
iPhone 16 Pro Max 256GB,31.090.000₫,máy xài tác vụ bình thường zalo Youtube fb tik tok thì 1 ngày mới hết bin còn sử dụng camera nhiều ghép ảnh chỉnh sửa thì tốn bin lắm nóng máy nữa
iPhone 16 Pro Max 256GB,31.090.000₫,"Mình dùng một thời gian thấy trong mắt cam có hạt bụi. Cũng mang ra cửa hàng thì nhân viên từ chối, nói là phải gửi đi ktra 15 ngày. Mà trong khi lỗi bằng mắt thường thấy như thế lại k có phản hồi gì khác. Pin dùng quá nhanh hết, hơn 30tr mang lại một trải nghiệm k tốt lắm."
iPhone 16 Pro Max 256GB,31.090.000₫,Cho hỏi. Mua iphone 16pro max hôm 5/1/2025 nhưng nay cáp sạc bị hỏng. Thì có dc bảo hành kg ạ
iPhone 16 Pro Max 256GB,31.090.000₫,Rõ ràng trên wed phiếu mua hàng airpods 500k giờ kt lại bảo đơn hàng không có
iPhone 16 Pro Max 256GB,31.090.000₫,"Đổi máy được 1 ngày thì phát hiện bên trong camera có 1 vết bụi mình đổi máy ngày 27/1 28 âm lịch đến ngày mùng 5 tết tức ngày 2/2/2025 mang ra thì nhân viên từ trối đổi kêu phải gửi về hãng trong khi máy vừa đập hộp có lỗi nhìn bằng mắt thường còn thấy mà phải gửi về hãng để thẩm định ,nếu lỗi của phần cứng bên trong không nói làm gì bỏ hơn 30tr ra mua trải nghiệm quá tệ"
iPhone 16 Pro Max 256GB,31.090.000₫,"điện thoại mới mua 1 ngày về loa quá trời rè coi phim , nghe nhạc , gọi điện cái nào cũng bị rè cứ mở loa lớn chút là rè còn mở full loa thì nghe rè như tiếng nhạc luôn quá chán"
iPhone 16 Pro Max 256GB,31.090.000₫,Nt bị đơ máy nhưng trên hệ thống kiểm tra ko bị lỗi bắt buộc phải mang máy về hãng kiểm tra 710 ngày
iPhone 16 Pro Max 256GB,31.090.000₫,sài được hơn tháng thì loa trong rè chưa rõ nguyên nhân đã vệ sinh loa các kiểu nhưng vẫn rè
