product_name,product_price,review
Tai nghe TWS HAVIT TW945,210.000₫,Mấy bữa trước mua 2 cái 1 đen 1 tím cái đen xài bình thường còn cái tím thì cái tai nghe bên trái không xài được chỉ có lúc để trong hộp thì luôn sáng đỏ rút ra thì tắt chứ không xài được
Tai nghe TWS HAVIT TW945,210.000₫,"Dây sạc hơi nhắn, sạc qua cục sạc dự phòng thì đc nè"
Tai nghe TWS HAVIT TW945,210.000₫,"mình mua 2 màu của hãng này rồi. sài khá là ok. giá rẻ, màu thiết kế ổn mà kết nối bluetooth tốt. mình sài để chạy marathon í. 10km, 21km pin vẫn ok, kết nối tốt. ko bị giựt giựt."
Tai nghe TWS HAVIT TW945,210.000₫,em bị mất 1 bên trái shop có bán 1 bên k ạ
Tai nghe TWS HAVIT TW945,210.000₫,"Sau vài hôm sài mình có cảm nhậnĐầu tiên là âm n hơi khó nghe, bạt gió trước quạt hay mưa to là khỏi nghe luônT2, cái này n thiết kế cho ng châu âu hay sao ấy, nhét tai to quá, k có cái mắc lên vành tai, nên với ng VN là n rất hay rơi, ngồi yên thì tạm đc, chạy bộ hay đi xe, thì khuyên anh em chếch lắc kỹ k rơi phát 1 thì lõmPhân vân cho 3 hay 4 sao, sau thấy 4 sao có vẻ ổn, dẫu sao thì tôi k bị chập chờn kết nối chỉ là khoảng cách k quá 6m, sạc cũng k vấn đề"
Tai nghe TWS HAVIT TW945,210.000₫,"Tai nghe hay trục trặc, bỏ vào không sạc, lay đi lay lại mới k, khi bỏ vào sạc thì không ngắt kết nối"
Tai nghe TWS HAVIT TW945,210.000₫,Tuyệt
Tai nghe TWS HAVIT TW945,210.000₫,Bên nghe được bên không
Tai nghe TWS HAVIT TW945,210.000₫,Tai nghe ổn nhưng do tai mình to nên đeo không chắc được . Tai nghe sạc đầy có thể nghe nhạc liên tục tầm 3 tiếng hơn. Nói chung dùng ok
Tai nghe TWS HAVIT TW945,210.000₫,Tốt
Tai nghe TWS HAVIT TW945,210.000₫,Rất tốt
Tai nghe TWS HAVIT TW945,210.000₫,Rất tốt
Tai nghe TWS HAVIT TW945,210.000₫,Hàng qua sử dụng xài còn tốt
Tai nghe TWS HAVIT TW945,210.000₫,"Chất lượng kém, hay bị mất kết nối, đang nghe nhạc mà nhiều lúc chỉ nghe được một bên vừa sạc đầy pin chỉ nghe được 30phut đã kết nối chậm chờn.mọi người nên cân nhắc nếu đang có ý định mua sản phẩm này"
Tai nghe TWS HAVIT TW945,210.000₫,"các bạn muốn mua tai nghe nào thì mua chứ riêng con này bạn đừng mua. Tôi mua 1 lần và bảo hành những 1 lần rồi nhưng vẫn không thể nào khắc phục được việc nó không thể sạc được, tôi để nó qua 1 đêm nhưng lúc tôi rút ra dùng thì nó vần báo âm thanh sắp hết pin, mặc dù tôi đã dùng đủ mọi cách lau sạch các chân cắm, rồi lau tai nghe sau khi dùng nhưng tình trạng này vẫn không khắc phục được. Tôi khuyên bạn nên mua sản phẩm khác thay thế, chứ tôi mua cái này về tình trạng tiếp diễn liên tục nên chán cũng không muốn dùng nữa"
Tai nghe TWS HAVIT TW945,210.000₫,Tai nhe nhe được một bên gửi đổi không được
Tai nghe TWS HAVIT TW945,210.000₫,oki
Tai nghe TWS HAVIT TW945,210.000₫,mới đổi bảo hành do 1 bênh bị lỗi k nghe đc giờ cái mới bảo hành đây cx bị mong mọi ng mua cẩn thận
Tai nghe TWS HAVIT TW945,210.000₫,Kết nối với Macbook bị gián đoạn
Tai nghe TWS HAVIT TW945,210.000₫,"Thấy con này giá rẻ nhưng kết nối chập chờn, mình đổi sang con xaomi cho lành"
Tai nghe TWS HAVIT TW945,210.000₫,"Tai nghe chập chờn, kết nối không ổn định toàn nghe được 1 bên lúc thì trái lúc thì phải. Pin thì khá nhanh hết, khi hết pin thay vì tạm dừng thì chuyển sang loa ngoài phát om sòm."
Tai nghe TWS HAVIT TW945,210.000₫,"Khuyến cáo mọi người nên dùng sạc 5V.1A Khi sạc, thì sẽ tốt cho bất kỳ tai nghe Bluetooth hơn nhé.. Và độ bền vẫn cao hơn. Đồ điện tử thì mình không trách nhà bán hàng được.. Vì thế xài kỹ là được và hư là phải chịu. Đổ thừa nhà bán hàng dởm.. tội nghiệp người ta.. Nhân viên rất nhiệt tình. Dễ thương lắm luôn đó ạ dù sản phẩm bị lỗi mình vẫn vui vẻ ra đổi không làm nhân viên khó sử."
Tai nghe TWS HAVIT TW945,210.000₫,Sạc thì đèn màu đỏ. Sạc cả đêm đầy vẫn đèn báo đỏ. Nếu đèn chuyển xanh thì tốt
Tai nghe TWS HAVIT TW945,210.000₫,Ok bạn ơi
Tai nghe TWS HAVIT TW945,210.000₫,"Nghe tai phone được 2 hôm nay rồi, theo mình cảm nhận hãng tai phone của HAVIT này nghe rất hay và ấm hơn nhiều so với cùng tầm giá, đeo lâu không bị đau tai."
Tai nghe TWS HAVIT TW945,210.000₫,Rất chất lượng
Tai nghe TWS HAVIT TW945,210.000₫,Tai nghe ổn
Tai nghe TWS HAVIT TW945,210.000₫,Nói chung là đoe 2 ngày thấy tạm ổn ngoài việc đeo đau tai quá
Tai nghe TWS HAVIT TW945,210.000₫,Ổn định pin tốt. Nên mua
Tai nghe TWS HAVIT TW945,210.000₫,"Sạc đầy doc mà tai nghe cho doc ko sạc dc, theo hdsd 2 tai nghe phải nháy ms vào pin, này nó k nháy"
Tai nghe TWS HAVIT TW945,210.000₫,Xài được 4 tháng rồi rất ok Pin xài sạc sử dụng được cả tuần đối vs bạn nào xài 1 2h ngày giống mình
Tai nghe TWS HAVIT TW945,210.000₫,Tai nghe hay săn được giá rẻ. Nhân viên thế giới Di Động lúc nào cũng vui vẻ nhiệt tình
Tai nghe TWS HAVIT TW945,210.000₫,Rất là ok
