product_name,product_price,review
Baseus Lipow 22.5W PPJP312 kèm Cáp Lightning và Type C,590.000₫,"Mình mua mẫu này 2 ngày trước. Giờ mình muốn đổi sang mẫu beseus Qpow 2 PPQD420C thì bên mình có hỗ trợ không ạ do lúc mua em đi đường nên chỉ lấy mỗi sạc, phụ kiện đi kèm như hộp em không lấy ạ"
Xiaomi 22.5W Lite P16ZM,390.000₫,THEGIOIDIDONG bán sản phẩm có nguồn gốc xuất xứ không phải Hàng Face tràn lang trên mạng. Về Sạc dự phòng Thì Đến Từ Hãng XIAOMI sạc rất tốt. Pin của Sạc dự phòng Rất Lâu nếu so sánh sạc dự phòng XIAOMI với Samsung Thì Xiaomi xứng đáng về độ bền và chất lượng. Sản phẩm Đúng như bài đăng
Ugreen 20W PB206,750.000₫,Sạc bằng dây cho iphone thì nhanh . Sạc không dây cho iphone thì chậm do không phải magsafe .
Ugreen 20W PB206,750.000₫,Đưa hàng cũ
Ugreen 200W PB722,1.920.000₫,Cho em hỏi sạc max 200w là chia ra 2 cổng type c hay 1 cổng thui ạ...và cổng usb sạc đc tối đa bao nhiêu w ạ
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,Sạc chậm quá. Mình muốn đổi sang sản phẩm khác có được không.
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,Sạc dự phòng sạc không vô pin
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,Sạc pin cho sạc dự phòng ko vào pin
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,Sạc ko vô pin
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,"SẠC DỎM... DÂY SẠC CỔNG LIGHTNING DÒN GÃY, CHƯA SỬ DỤNG QUÁ 3 LẦN... ĐỔI TRẢ THÌ KHÔNG ĐƯỢC HỖ TRỢ. QUÁ TỆ SO VỚI SỐ TIỀN BỎ RA."
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,Mik mới mua mà xạc chậm quá muốn đổi sang sản phẩm khác được ko
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,Rắt cắm sạc vào điện thoại. Dễ bị sức ra. Lổi sản xuất quá tệ
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,Cho e hỏi loại này sao dùng cáp riêng type c để sạc ip ko đc vậy ah
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,Sao mới mua mà sạc iphone ko đc luôn
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,Ưu điểm Có kèm 3 cáp sạc Tiện lợi và sạc nhanh Nhỏ gọn dễ cầmNhược điểm Không kèm dây sạc cục sạc
AVA+ 10.5W G-DX258 kèm Cáp Lightning và Cáp Type C,450.000₫,
Xmobile 22.5W A16,450.000₫,Pin 20000 mà cho cho ip15 k đc 3 lần là sao ạ
Xmobile 22.5W A16,450.000₫,"20000mah chỉ xạc đc 2 lần là hết, ko nên mua"
Xmobile 22.5W A16,450.000₫,"Mua pin sạc dự phòng 20000mah mà điện thoại 5000mah mà sao sac được 2 lần điện thoại vậy.,lỗi hay sao"
Xmobile 22.5W A16,450.000₫,Cho em hỏi xiu sao e sạc vào cục dự để qua đêm luon zô pin đc không vài phần trăm thì lỗ hay z ạ
Xmobile 22.5W YM-672,510.000₫,sax tầm 10tiêng hơn mới đầy sax vô chậm quá
