product_name,product_price,review
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,Âm thanh hay. Kết nối tốt. Nhưng xài hết công suất thì pin đc khoảng bn tiếng nhỉ M cảm nhận pin tuột khá nhanh. Sạc đầy nghe liên tục khoảng 3 tiếng.
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,"Mau hết pin,không đúng như thông tin nghe tầm đc 2h là hết"
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,"Âm lượng tốt, khoảng cách bắt rất tốt"
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,"Âm thanh tốt,pin nhanh hết quá,max âm lượng chưa được 2 tiếng hết pin rồi"
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,Khá ok
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,"Loa hay bị mất kết nói , và tự kết nối lại"
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,Mở được 1h30 hết pin so với thông số ghi 10h là không phù hợp
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,"Pin mau tuột, không như quảng cáo"
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,"Âm khá hay,, nhưng pin tụt nhanh quá"
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,Vừa mua xong. Mở vomlum hết cỡ nghe được 1h47 phút là hết pin. Kém xa so với quảng cáo. Âm thanh nghe hay trong tầm giá
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,loa nghe hay bass tốt nên mua nha mọi người
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,Dùng đc 2h là hết pin kém xa so với giới thiệu
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,mang đi làm nghe trong phòng làm việc với âm lượng 50% trong vòng 2 ngày vẫn còn 40% pintối ưu tốt thực sự
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,"tạm ổn,ko biết có bền ko"
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,"Loa nghe hay lắm á, trầm ầm, tuy nhỏ mà nó có võ.."
Loa Bluetooth Xiaomi Sound Pocket,490.000₫,"dùng rất sướng, bass đầm chắc, loa cứng cáp còn pin trâu nghe 2 ngày vẫn còn 30% rất đáng tiền"
